Scientific,Common,SpeciesVal 
Ilex verticillata,winterberry holly,1
Impatiens,jewelweeds,4
Impatiens balsamina,Garden balsam,1
Impatiens capensis,common jewelweed,55
Impatiens glandulifera,Himalayan balsam,33
Impatiens pallida,pale jewelweed,11
Impatiens parviflora,small balsam,1
Inula helenium,Elecampane,8
Ipomoea,morning-glories,2
Ipomoea purpurea,common morning-glory,10
Iridaceae,iris family,1
Iris,Irises,4
Iris × germanica,Bearded iris,2
Iris domestica,Blackberry Lily,1
Iris pseudacorus,Yellow Iris,13
Iris sibirica,Siberian Iris,1
Iris versicolor,northern blue flag,1
Iris virginica,southern blue flag,1
Itea virginica,Virginia sweetspire,1
Juglandaceae,walnut family,1
Juglans,Walnuts,4
Juglans × bixbyi,Bixby's walnut,1
Juglans cinerea,Butternut,7
Juglans nigra,eastern black walnut,42
Juglans regia,Persian walnut,1
Juncaceae,rushes,1
Juncus articulatus,Jointed rush,1
Juncus balticus,Baltic Rush,2
Juncus compressus,Flattened Rush,1
Juncus dudleyi,Dudley's Rush,1
